id,snapshot_date,detained_or_awaiting_trial,total,source_url,source_url_2
6830,2021-10-01,527,743,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6923,2021-10-01,1068,1286,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6833,2021-10-01,83,157,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6834,2021-10-01,1309,1519,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6837,2021-10-01,1151,1251,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6839,2021-10-01,709,783,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6836,2021-10-01,538,625,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6835,2021-10-01,811,947,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6840,2021-10-01,64,73,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6841,2021-10-01,318,558,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6925,2021-10-01,252,706,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6842,2021-10-01,378,486,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6844,2021-10-01,523,652,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6843,2021-10-01,3,4,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6845,2021-10-01,171,256,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6920,2021-10-01,2207,3832,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
9825,2021-10-01,113,207,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6854,2021-10-01,1042,1348,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6856,2021-10-01,145,202,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6857,2021-10-01,56,79,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6859,2021-10-01,30,35,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6861,2021-10-01,32,50,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6862,2021-10-01,58,80,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6863,2021-10-01,55,111,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6926,2021-10-01,349,668,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6865,2021-10-01,357,467,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6867,2021-10-01,768,1093,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6866,2021-10-01,1179,1707,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6869,2021-10-01,349,489,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6871,2021-10-01,27,60,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6877,2021-10-01,314,470,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6876,2021-10-01,714,1040,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6878,2021-10-01,825,1121,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6881,2021-10-01,18,37,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6883,2021-10-01,1096,1783,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6850,2021-10-01,1044,1205,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6847,2021-10-01,1934,2122,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6851,2021-10-01,765,865,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6887,2021-10-01,285,453,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6885,2021-10-01,18,25,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6888,2021-10-01,174,235,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6890,2021-10-01,205,273,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6894,2021-10-01,520,632,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6896,2021-10-01,937,1269,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6895,2021-10-01,489,588,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6898,2021-10-01,1300,1675,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
9777,2021-10-01,1732,2759,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6905,2021-10-01,184,360,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6906,2021-10-01,210,379,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6907,2021-10-01,1063,1656,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6908,2021-10-01,391,640,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6909,2021-10-01,666,1002,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6911,2021-10-01,388,452,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6912,2021-10-01,97,161,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6914,2021-10-01,26,37,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6915,2021-10-01,392,629,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6916,2021-10-01,359,949,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6917,2021-10-01,69,95,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6918,2021-10-01,162,284,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6919,2021-10-01,56,106,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2021/jails-2021-09.pdf
6830,2017-09-01,549,809,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6833,2017-09-01,69,133,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6834,2017-09-01,1288,1723,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6837,2017-09-01,954,1083,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6839,2017-09-01,674,889,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6836,2017-09-01,644,757,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
