id,facility_name
6859,Gilchrist County Jail
6860,Glades County Jail
6862,Hamilton County Jail
6863,Hardee County Jail
6865,Highlands County Sheriffs Office Detention Facility
6868,Holmes County Jail and Work Camp
6869,Indian River County Jail
6879,Levy County Jail
6880,Liberty County Jail
6884,Martin County Jail
6889,Okaloosa County Jail
6890,Okeechobee County Jail
6905,Putnam County Jail
6906,St. Johns County Jail
6908,Santa Rosa County Jail
6912,Suwanee County Jail
6913,Taylor County Jail
6914,Union County Jail
6917,Wakulla County Jail
6918,Walton County Jail
6919,Washington County Jail
