id,snapshot_date,total,source_url
8155,2019-12-31,679,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2019&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2019-12-31,259,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2019&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2020-07-31,698,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2020-07-31,77,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2013-11-30,787,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2013-11-30,1074,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2013-11-30,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2017-07-31,678,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2017-07-31,761,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2007-08-31,1072,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2007-08-31,1302,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2007-08-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2006-02-28,577,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2006-02-28,894,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2006-02-28,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2001-05-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2001&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2001-05-31,686,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2001&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2001-05-31,206,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2001&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
