id,snapshot_date,total,total_off_site,felony,misdemeanor,convicted_or_sentenced,detained_or_awaiting_trial,technical_parole_violators,source_url,source_url_2,federal_offense
10302,2018-01-01,33,9,0,0,0,23,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9054,2018-01-01,30,0,9,0,2,28,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9055,2018-01-01,238,0,26,15,14,157,19,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9057,2018-01-01,23,4,1,0,0,15,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,1
9058,2018-01-01,0,0,0,0,0,0,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9059,2018-01-01,103,0,6,0,0,88,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9060,2018-01-01,0,0,4,0,0,22,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9062,2018-01-01,48,13,1,0,1,29,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9063,2018-01-01,293,110,3,1,2,159,16,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,107
9064,2018-01-01,104,23,21,0,0,41,11,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,23
9069,2018-01-01,41,1,1,0,0,35,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9075,2018-01-01,561,0,49,19,24,324,74,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
9076,2018-01-01,43,28,1,0,0,12,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,28
9078,2018-01-01,143,8,15,1,4,87,22,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2018/01/AbbreRptCurrent.pdf,0
